ID,name,article_ID
56248593800,Peterson C.K.,452
56248593800,Peterson C.K.,659
56248593800,Peterson C.K.,676
10640480600,Casbeer D.W.,13
10640480600,Casbeer D.W.,111
24923036100,Manyam S.G.,13
7201675107,Rasmussen S.,13
56330168500,Zou Z.,15
56330168500,Zou Z.,53
56330168500,Zou Z.,512
56330168500,Zou Z.,758
9942259800,Scott M.A.,15
9942259800,Scott M.A.,53
9942259800,Scott M.A.,142
9942259800,Scott M.A.,274
9942259800,Scott M.A.,493
9942259800,Scott M.A.,512
9942259800,Scott M.A.,672
9942259800,Scott M.A.,739
9942259800,Scott M.A.,758
9942259800,Scott M.A.,863
57201257192,Miao D.,15
57201257192,Miao D.,53
57201257192,Miao D.,493
56260937200,Bischoff M.,15
57081918700,Oesterle B.,15
55487415500,Dornisch W.,15
55487415500,Dornisch W.,512
7202083837,Rice M.,16
7202083837,Rice M.,39
7202083837,Rice M.,86
7202083837,Rice M.,149
7202083837,Rice M.,160
7202083837,Rice M.,232
7202083837,Rice M.,249
7202083837,Rice M.,308
7202083837,Rice M.,309
7202083837,Rice M.,311
7202083837,Rice M.,312
7202083837,Rice M.,413
7202083837,Rice M.,434
7202083837,Rice M.,571
7202083837,Rice M.,614
7202083837,Rice M.,615
7202083837,Rice M.,706
7202083837,Rice M.,707
7202083837,Rice M.,801
7202083837,Rice M.,841
7202083837,Rice M.,842
7202083837,Rice M.,877
57210290270,Clark B.,16
57210290270,Clark B.,232
57210288045,Flanary D.,16
57210288045,Flanary D.,232
57210287166,Jensen B.,16
57210287166,Jensen B.,232
57210287166,Jensen B.,309
57211254337,Nelson N.,16
57210292389,Norman K.,16
57210292389,Norman K.,232
57210292389,Norman K.,309
57218761022,Perrins E.,16
35147940600,Harrison W.K.,16
35147940600,Harrison W.K.,85
35147940600,Harrison W.K.,143
35147940600,Harrison W.K.,186
35147940600,Harrison W.K.,232
35147940600,Harrison W.K.,240
35147940600,Harrison W.K.,241
35147940600,Harrison W.K.,253
35147940600,Harrison W.K.,309
35147940600,Harrison W.K.,433
35147940600,Harrison W.K.,434
35147940600,Harrison W.K.,468
35147940600,Harrison W.K.,469
35147940600,Harrison W.K.,572
57201912667,Hendricks L.J.,17
7202282831,Baxter J.S.,17
7202282831,Baxter J.S.,104
7202282831,Baxter J.S.,258
7202282831,Baxter J.S.,520
57218107757,Chou Y.,17
57198832579,Thomas M.,17
57218097969,Boekweg E.,17
7003302831,Guthrie W.S.,17
